,costToReach,items
The Ancient Burial Ground,1000,"['delicious swamp muck (0)', 'skeleton bone (0)', 'really thick spine (0)', 'oversized skullcap (0)', 'three-legged pants (0)', 'skeleton bone (0)', 'loose teeth (0)', 'alien autoautopsy kit (c0)', 'synthetic marrow (0)', 'rubber ribcage (0)', 'funny bone (0)', 'cherry (0)', 'cherry (0)', 'grapefruit (0)', 'grapefruit (0)', 'orange (0)', 'orange (0)', 'strawberry (0)', 'strawberry (0)', 'lemon (0)', 'lemon (0)', 'novelty fruit hat (c0)', 'red box (15)', 'red blood cells (25)', 'red eye (5)', 'Red Army camouflage kit (c0)', 'skeleton bone (0)', 'remaindered axe (0)', 'low-budget shield (0)', 'beer-soaked mop (10)', 'ice-cold Willer (30)', 'ice-cold Willer (30)', 'tap shoes (5)', 'worn tophat (5)', ""janglin' bones (c0)"", 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'old ball and chain (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'frying brainpan (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'tonguebone (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'old dry bone (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'tailbone shield (c0)', 'x-ray mirror (c0)', 'spooky lasso (20)', 'plaid cowboy hat (5)', ""rusted-out shootin' iron (5)"", 'skeleton beans (c0)', 'fossilized necklace (c100)', 'fossilized necklace (c100)', 'fossilized necklace (c100)', 'fossilized necklace (c100)', 'fossilized necklace (c100)', 'fossilized necklace (c100)', 'bone chips (30)', 'bone chips (30)', 'bone chips (20)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (0)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (0)', 'bone chips (0)', 'bag of bones (0)', 'Haunted Sorority House staff guide (0)', 'press-on ribs (0)', ""Bone's Farm &quot;wine&quot; (0)"", 'throwing bone (0)', 'extremely skinny jeans (0)', 'vampire heart (c100)', 'vampire collar (c4)', 'bat wing (15)', 'batgut (15)', 'sonar-in-a-biscuit (10)', 'vampire chowder (100)', 'vampire pearl (p35)', 'frightful feather (10)', 'duct tape (5)', 'vampire glitter (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'remorseless knife (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'vial of hot blood (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'blood sausage (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'intimidating coiffure (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'cod cape (c0)', 'child-sized dracula cloak (c0)', 'evil googly eye (10)', 'spooky felt (10)', 'spooky length of string (10)', 'spooky stuffing (10)', 'spooky toy wheel (10)', 'spooky wooden block (10)', 'Haunted Sorority House staff guide (0)', 'bite-me-red lipstick (0)', 'Blood Light (0)', 'Nightstalker perfume (0)', 'Mesmereyes&trade; contact lenses (0)']"
Sweet-Ade Lake,1000,"['small gummi fin (0)', 'gummi sword (0)', 'lemonhead caviar (0)', 'lemony scales (0)', 'lemony scales (0)', 'gummi fang (0)', 'chocolate cow bone (0)']"
Super Villain's Lair,1000,[]
Strongest Adventurer Contest,1000,"['spicy jerky stick (c0)', 'costume rental shop (c0)', 'muscle oil (c0)']"
The Briniest Deepests,1000,"['dull fish scale (n15)', 'eel battery (c9)', 'eel sauce (c10)', 'eel skin (n4)', 'dull fish scale (n15)', 'shark cartilage (c10)', 'shark jumper (c3)', 'shark tooth (n2)', 'shark tooth (n1)', 'dull fish scale (n15)', 'ganger bandana (n3)', 'temporary teardrop tattoo (c9)']"
Stinkiest Adventurer Contest,1000,"['smellbook (c0)', ""assassin's cheese knife (c0)"", 'filthy armor (c0)']"
The Cheerless Spire (Level 3),1000,"['crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)']"
The Cheerless Spire (Level 5),1000,"['crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'warehouse key (p0)']"
The Ice Caves,1000,"['elven medi-pack (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven magi-pack (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven magi-pack (25)', 'elven medi-pack (25)', 'lunar isotope (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'plasma rifle (100)', 'jetpack (100)', 'alien drugs (15)', 'weird space book (c25)', 'alien hologram projector (c0)', 'ovoid leather thing (20)', 'chunk of rock salt (20)', 'stone baseball cap (10)', 'stone baseball cap (5)', 'cup of primitive beer (10)', 'chunk of rock salt (20)', 'ovoid leather thing (10)', 'stone frisbee (20)', 'dreadlock whip (10)', 'handful of pine needles (20)', 'Spanish fly (c25)', 'cup of primitive beer (25)', 'wrestling mask (c0)', 'six tiny wedges of goat cheese (0)', 'tiny frozen prehistoric meteorite jawbreaker (c100)']"
The Heap,1000,"['hobo nickel (c15)', ""stinkin' bindle (0)"", ""Biddy Cracker's Old-Fashioned Cookbook (0)"", 'Travels with Jerry (0)', 'filth-encrusted futon (0)', 'The Ballad of Richie Thingfinder (0)', 'jar of fermented pickle juice (0)', ""Oscus's dumpster waders (0)"", ""Oscus's pelt (0)"", 'Wand of Oscus (0)', ""Oscus's flypaper pants (f20)"", ""Oscus's garbage can lid (f20)"", ""Oscus's neverending soda (f20)""]"
The Haunted Sorority House,1000,"['Haunted Sorority House staff guide (0)', 'ghostly body paint (0)', 'Ecto-Cooler (0)', 'ghost protocol (0)', 'extra-see-thru nightie (0)', 'Haunted Sorority House staff guide (0)', 'press-on ribs (0)', ""Bone's Farm &quot;wine&quot; (0)"", 'throwing bone (0)', 'extremely skinny jeans (0)', 'Haunted Sorority House staff guide (0)', 'bite-me-red lipstick (0)', 'Blood Light (0)', 'Nightstalker perfume (0)', 'Mesmereyes&trade; contact lenses (0)', 'Haunted Sorority House staff guide (0)', 'whisker pencil (0)', 'Silver Bullet beer (0)', 'drum of pomade (0)', 'cursed scrunchie (0)', 'Haunted Sorority House staff guide (0)', 'necrotizing body spray (0)', 'Bartles and BRAAAINS wine cooler (0)', 'sorority brain (0)', 'BRAINS shorts (0)']"
The Hallowed Halls,1000,"['surgical tape (15)', 'folder (sportsballs) (10)', ""stepmom's booze (15)"", 'twisted-up wet towel (5)', ""fountain 'soda' (15)"", 'illegal firecracker (15)', 'metal band T-shirt (5)', 'folder (heavy metal) (10)', 'Redeye&trade; Eyedrops (c0)', 'Ogres and Oubliettes&trade; module (15)', 'Mountain Stream Code Black Alert (15)', 'slide rule (5)', 'folder (Yedi) (10)', 'Dweebisol&trade; inhaler (c0)', 'pickelhaube (5)', 'hair oil (15)', 'scrap metal (15)', 'folder (sports car) (10)', 'Lewd Lemmy Hair Oil (c0)']"
The Gourd!,1000,"['razor-sharp can lid (0)', 'razor-sharp can lid (0)', 'censored can label (c0)', 'sharp tin strip (0)', 'Knob Goblin firecracker (0)', 'Knob Goblin firecracker (0)', 'goblin collarbone (0)', 'Illuminati earpiece (c0)', 'razor-sharp can lid (0)', 'Knob Goblin firecracker (0)', 'sharp tin strip (0)', 'goblin collarbone (0)', 'spider web (0)', 'Knob Goblin firecracker (0)', 'wad of spider silk (0)', 'goblin collarbone (0)', 'spider web (0)', 'spider web (0)', 'wad of spider silk (0)', 'razor-sharp can lid (0)', 'spider web (0)', 'sharp tin strip (0)', 'wad of spider silk (0)', 'razor-sharp can lid (0)', 'Knob Goblin firecracker (0)', 'sharp tin strip (0)', 'goblin collarbone (0)', 'spider web (0)', 'Knob Goblin firecracker (0)', 'wad of spider silk (0)', 'goblin collarbone (0)', 'razor-sharp can lid (0)', 'spider web (0)', 'sharp tin strip (0)', 'wad of spider silk (0)', 'razor-sharp can lid (0)', 'razor-sharp can lid (0)', 'Knob Goblin firecracker (0)', 'Knob Goblin firecracker (0)', 'spider web (0)', 'spider web (0)', 'sharp tin strip (0)', 'wad of spider silk (0)', 'goblin collarbone (0)']"
The Glacier of Jerks,1000,"['dangerous jerkcicle (0)', 'pink-belly slapper (0)', 'dangerous jerkcicle (0)', 'dangerous jerkcicle (0)', 'desktop zen garden (0)', 'dangerous jerkcicle (0)', 'half-empty carton of milk (0)', 'dangerous jerkcicle (0)', 'dangerous jerkcicle (0)', ""Vivian's Vitamin (0)"", 'dangerous jerkcicle (0)', 'dangerous jerkcicle (0)', 'glass of warm water (0)', 'avarice stone (100)', 'gluttonous stone (100)']"
The Fun-Guy Mansion,1000,"['sleight-of-hand mushroom (0)', 'Fun-Guy spore (5)', 'pencil thin mushroom (c0)']"
The Filthworm Queen's Chamber,1000,['heart of the filthworm queen (100)']
The Cheerless Spire (Level 4),1000,"['crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)']"
The Feeding Chamber,1000,['filthworm drone scent gland (10)']
The Don's Crimbo Compound,1000,"['Crimbuck (0)', 'grappling hook (c100)', 'night-vision goggles (0)', 'cement sandals (0)', 'chunk of cement (c100)', 'Crimbuck (0)', 'Crimbuck (0)', 'pocketwatch on a chain (0)', 'spiraling shape (c100)', 'Crimbuck', 'herringcello', 'penguin focaccia bread', 'Crimbuck', 'herringcello', 'penguin focaccia bread', 'Crimbuck', 'herringcello', 'penguin focaccia bread', 'Crimbuck', 'herringcello', 'penguin focaccia bread', 'Crimbuck', 'herringcello', 'penguin focaccia bread', 'cardboard elf ear (c100)', 'Crimbuck (0)', 'passable elf mask (0)']"
The Dive Bar,1000,"['amber aviator shades (n5)', 'hair of the fish (c7)', 'rough fish scale (n4)', 'slug of shochu (21)', 'Alewife&trade; Ale (40)', 'Mer-kin foodbucket (n5)', 'Mer-kin pinkslip (n5)', 'slug of vodka (21)', 'Mer-kin weaksauce (0)', 'blank prescription sheet (c11)', ""nurse's hat (n5)"", 'sea salt scrubs (c5)', 'slug of rum (21)']"
The Deep Machine Tunnels,1000,"['abstraction: action (0)', 'abstraction: purpose (0)', 'abstraction: thought (0)', 'abstraction: category (0)', 'abstraction: perception (0)', 'abstraction: sensation (0)']"
The Crimbonium Mining Camp,1000,"['flask of tainted mining oil (15)', 'cylindrical mold (5)', 'servo-assisted exo-pants (c1)', 'flask of tainted mining oil (15)', 'cylindrical mold (5)', 'high-energy mining laser (c1)', 'flask of tainted mining oil (15)', 'cylindrical mold (5)', 'radiation-resistant helmet (c1)']"
The Crashed U. F. O.,1000,"['plasma rifle (100)', 'jetpack (100)']"
The Coral Corral,1000,"['Mer-kin thingpouch (n15)', 'Mer-kin foodbucket (n10)', 'Mer-kin hookspear (n2)', 'sea lasso (n30)', 'deep six-shooter (n8)', 'sea cowbell (n10)', 'sea leather (n20)', 'sea lasso (n30)', 'deep six-shooter (n8)']"
The Clumsiness Grove,1000,"['clumsiness bark (0)', 'cup of hickory chicory (0)', 'berries of suffering (0)', 'clumsiness bark (0)', 'baobab sap (0)', 'clumsiness bark (0)', 'clumsiness bark (0)', 'clumsiness bark (0)', 'whimpering willow bark (0)', 'clumsiness bark (0)', 'clumsiness bark (0)', 'magnolia blossom (0)', 'vanity stone (100)', 'furious stone (100)']"
The City of Goooold,1000,"['dried face (10)', 'spooky shrunken head (20)', 'ancient pills (0)', 'evil googly eye (10)', 'spooky felt (10)', 'spooky length of string (10)', 'spooky stuffing (10)', 'spooky toy wheel (10)', 'spooky wooden block (10)', ""Bananubis's Staff (100)""]"
The Electric Lemonade Acid Parade,1000,"['essential cameraderie (0)', 'essential soy (0)', 'essential tofu (0)', 'respected companion biscuit (0)', 'respected companion biscuit (0)', 'respected companion biscuit (0)', 'soyburger juice (0)', 'soyburger juice (0)', 'soyburger juice (0)', 'sun-dried tofu (0)', 'sun-dried tofu (0)', 'sun-dried tofu (0)']"
Hobopolis Town Square,1000,"['hobo nickel (c15)', ""Mr. Joe's bangles (0)"", 'corncob pipe (0)', 'panhandle panhandling hat (0)', 'frayed rope belt (0)', 'cup of infinite pencils (0)', ""'WILL WORK FOR BOOZE' sign (0)"", 'lucky bottlecap (0)', 'rusty piece of rebar (0)', ""Hodgman's bow tie (0)"", ""Hodgman's porkpie hat (0)"", ""Hodgman's lobsterskin pants (0)"", ""Hodgman's almanac (0)"", ""Hodgman's lucky sock (0)"", ""Hodgman's metal detector (0)"", ""Hodgman's varcolac paw (0)"", ""Hodgman's harmonica (0)"", ""Hodgman's garbage sticker (0)"", ""Hodgman's cane (0)"", ""Hodgman's whackin' stick (0)"", ""Hodgman's disgusting technicolor overcoat (0)"", ""Hodgman's imaginary hamster (0)"", 'hobo fortress blueprints (0)', 'stuffed Hodgman (0)', ""Hodgman's blanket (0)"", 'tin cup of mulligan stew (0)', ""Hodgman's journal #1: The Lean Times (0)"", ""Hodgman's journal #2: Entrepreneurythmics (0)"", ""Hodgman's journal #3: Pumping Tin (0)"", ""Hodgman's journal #4: View From The Big Top (0)""]"
Spooky Fright Factory,1000,"['evil googly eye (10)', 'spooky felt (10)', 'spooky length of string (10)', 'spooky stuffing (10)', 'spooky toy wheel (10)', 'spooky wooden block (10)', 'evil googly eye (10)', 'spooky felt (10)', 'spooky length of string (10)', 'spooky stuffing (10)', 'spooky toy wheel (10)', 'spooky wooden block (10)', 'evil googly eye (10)', 'spooky felt (10)', 'spooky length of string (10)', 'spooky stuffing (10)', 'spooky toy wheel (10)', 'spooky wooden block (10)', 'evil googly eye (10)', 'spooky felt (10)', 'spooky length of string (10)', 'spooky stuffing (10)', 'spooky toy wheel (10)', 'spooky wooden block (10)', 'evil googly eye (10)', 'spooky felt (10)', 'spooky length of string (10)', 'spooky stuffing (10)', 'spooky toy wheel (10)', 'spooky wooden block (10)', 'evil googly eye (10)', 'spooky felt (10)', 'spooky length of string (10)', 'spooky stuffing (10)', 'spooky toy wheel (10)', 'spooky wooden block (10)']"
Spectral Pickle Factory,1000,"['dill (50)', 'dill (20)', 'ghost cucumber (50)', 'ghost cucumber (20)', 'vinegar (50)', 'vinegar (20)']"
Mt. Molehill,1000,['compressed air canister (c0)']
Morgue,1000,"['bugbear autopsy tweezers (100)', 'BURT (100)']"
Moonshiners' Woods,1000,"['throwing candy (20)', '4-dimensional fez (2)', 'unquiet spirits (20)', 'super-absorbent tarp (2)', 'blue grass (20)', 'banjo kazoo mount (2)']"
Monorail Work Site,1000,"['contract enforcement stick (0)', 'mafia pinky ring (0)', 'flask of port (p0)', 'protection stick (0)', 'mafia thumb ring (0)', 'roll of meat (p0)', ""steel drivin' hammer (0)"", 'mafia middle finger ring (0)', 'little piece of steel (p0)', ""negotiatin' hammer (0)"", 'mafia pointer finger ring (0)', 'worksite credentials (p0)', 'mafia filofax (0)', 'mafia wedding ring (0)', 'mafia organizer badge (p0)']"
Mer-kin Library,1000,"['Mer-kin smartjuice (0)', 'Mer-kin worktea (0)', 'Mer-kin knucklebone (0)', 'Mer-kin begsign (0)', 'Mer-kin cooljuice (0)', 'Mer-kin healscroll (0)', 'Mer-kin killscroll (0)', 'Mer-kin darkbook (0)']"
Mer-kin Gymnasium,1000,"['Mer-kin dragbelt (0)', 'Mer-kin ragejuice (0)', 'Mer-kin fitbrine (0)', 'Mer-kin gutgirdle (0)', 'Mer-kin strongjuice (0)', 'Mer-kin stopwatch (0)']"
Mer-kin Elementary School,1000,"['Mer-kin cheatsheet (0)', 'Mer-kin eyeglasses (0)', 'Mer-kin hallpass (0)', 'Mer-kin mouthsoap (0)', 'Mer-kin finpaddle (0)', 'Mer-kin hallpass (0)', 'Mer-kin lipstick (0)', 'Mer-kin bunwig (0)', 'Mer-kin hallpass (0)', 'folder (catfish) (c0)']"
Mer-kin Colosseum,1000,[]
Navigation,1000,['BURT (100)']
Medbay,1000,"['BURT (100)', 'BURT (100)']"
LOLmec's Lair,1000,[]
Lollipop Forest,1000,"['lollipop stick (10)', 'pearidot (c1)', 'lollipop stick (10)', 'tourmalime (c1)', 'lollipop stick (10)', 'bananagate (c1)', 'lollipop stick (25)', 'kumquartz (c1)', 'lollipop stick (20)', 'lollipop stick (20)', 'strawberyl (c1)', 'grape troll doll (0)', 'cinnamon troll doll (0)', 'blue raspberry troll doll (0)', 'all-year sucker (100)']"
LavaCo&trade; Lamp Factory,1000,"['heat-resistant gloves (0)', 'lava-proof pants (0)', 'very hot lunch (0)', 'asbestos thermos (0)', 'heat-resistant necktie (0)', 'asbestos thermos (0)', 'heat-resistant necktie (0)', 'heat-resistant gloves (0)', 'lava-proof pants (0)', 'very hot lunch (0)', 'gooey lava globs (16)', 'sticky lava globs (16)', 'viscous lava globs (0)', ""Mr. Cheeng's 'stache (n100)"", ""Mr. Cheeng's spectacles (n100)""]"
KoL Con Clan Party House,1000,[]
Kokomo Resort,1000,"['Kokomo Resort Brand Suntan Oil (0)', 'Kokomo Resort Chip (0)', 'Kokomo Resort Chip (0)', 'Kokomo Resort Chip (0)', 'captured boozles (c0)', 'Afternoon Delight (0)', 'Kokomo Resort Chip (0)', 'Kokomo Resort Chip (0)', 'Kokomo Resort Order Pad (0)', 'Kokomo Resort Chip (0)', 'Kokomo Resort Chip (0)', 'drinks tray (c0)', 'lemon (0)', 'lime (0)', 'orange (0)', 'bottle of gin (0)', 'bottle of vodka (0)', 'bottle of rum (0)', 'coconut shell (0)', 'little paper umbrella (0)', 'magical ice cubes (0)', 'eyebrow lifter (c0)']"
Kegger in the Woods,1000,"['plastic cup of beer (100)', 'plastic cup of beer (100)', ""orquette's phone number (c100)"", ""orquette's phone number (c100)"", 'plastic cup of beer (100)', 'plastic cup of beer (100)', ""orquette's phone number (c100)""]"
JokesterCo,1000,['tube of villain white (c100)']
Investigating a Plaintive Telegram,1000,"['buzzard feather (0)', 'plate of Heimz Fortified Kidney Beans (0)', 'plate of Mixed Garbanzos and Chickpeas (0)', ""plate of Tesla's Electroplated Beans (0)"", 'rotting beefsteak (0)', ""Clara's bell (n100)"", 'half-digested coal (0)', 'tainted milk (0)', 'rattler gland (0)', ""Daisy's unclean bloomers (n100)"", 'cow poker (0)', ""Former Sheriff Dan's tin star (n100)"", 'tightly-wound spine (0)', ""Granny Hackleton's Gatling gun (n100)"", 'bear claw (0)', 'gun parts (0)', ""Fancy Jeff's fancy pocket square (n100)"", 'moomy dust (0)', 'lion musk (0)', ""Pecos Dave's sixgun (n100)"", ""Amoon-Ra Cowtep's nemes (n100)"", 'firemilk (0)', 'ghost bit (0)', 'triggerfingerbone (0)', ""Glenn's golden dice (n100)"", 'spidercow eye-cluster (0)', 'poker face paint (0)', 'El Vibrato restraints (n100)', 'realistic cap gun (0)']"
Madness Reef,1000,"['jamfish jam (n5)', 'jellyfish gel (c10)', 'seaweed (n5)', 'jam band (n5)', 'rough fish scale (n4)', 'seaweed (n5)', 'dragonfish caviar (n5)', 'pufferfish spine (n5)', 'rough fish scale (n4)', 'seaweed (n5)']"
Spookiest Adventurer Contest,1000,"['plague pie (c0)', 'batarang (c0)', 'spare neck bolts (c0)']"
Neckback Crick,1000,"['trout fang (0)', 'poisonous caviar (0)', 'wet venom duct (0)', ""Ellsbury's skull (100)"", ""Ellsbury's journal (100)""]"
Outside the Club,1000,"['candy necklace (c0)', 'rave visor (c0)', 'teddybear backpack (c0)', 'baggy rave pants (c0)', 'glowstick on a string (c0)', 'teddybear backpack (c0)', 'candy necklace (c0)', 'glowstick on a string (c0)', 'pacifier necklace (c0)']"
Special Ops,1000,['BURT (100)']
Sonar,1000,['BURT (100)']
Some Scattered Smoking Debris,1000,"['burned government manual fragment (15)', 'government cheese (20)', 'pair of government shades (3)', 'government-issued night-vision goggles (3)', 'government-issue identification badge (c0)', 'space junk (10)', 'space junk (c15)', 'alien drugs (15)', 'weird space book (c25)', 'alien hologram projector (c0)']"
Smoothest Adventurer Contest,1000,"['jazzy cigarette holder (c0)', 'one glove (c0)', 'leather glove (c0)']"
Smartest Adventurer Contest,1000,"['bottle of Red-Out (c0)', 'pickpocket protector (c0)', 'sinister-looking cat (c0)']"
Sloppy Seconds Diner,1000,"[' possessed sugar cube (0)', ' Meat-inflating powder (0)', ' bottle of vodka (0)', 'bottle of rum (0)', 'bottle of tequila (0)']"
Sleaziest Adventurer Contest,1000,"['grease trap (c0)', 'shamanic ham (c0)', 'porkpocket (c0)', ""Leonard's glasses (c0)""]"
Sinister Dodecahedron,1000,"['laser-broiled pear (0)', 'polyalloy shield (0)', 'oversized fish scaler (0)', 'killing feather (0)', 'killing feather (0)', 'golden ring (0)', 'robotronic egg (0)', 'robotronic egg (0)', 'rogue swarmer (0)', 'rogue swarmer (0)', 'sawblade fragment (0)', 'sawblade fragment (0)', 'unstable laser battery (0)', 'unstable laser battery (0)', 'vibrating cyborg knife (0)', 'immense cyborg hand (0)', ""cyborg stompin' boot (0)""]"
Old Crimbo Town Toy Factory,1000,"['patent leather shoes (0)', 'penguin thesaurus (0)', 'canteen of wine (0)', 'depleted Grimacite kneecapping stick (0)', 'knuckle sandwich (0)', 'psycho sweater (c0)', 'gray bow tie (0)']"
Simple Tool-Making Cave,1000,"['rock (15)', 'stick (10)', 'stick (5)', 'tooth (15)', 'tooth (5)', 'rock (8)', 'stick (7)', 'stick (15)', 'stringy sinew (20)', 'stringy sinew (20)', 'stringy sinew (20)']"
Shivering Timbers,1000,"['petrified wood (5)', 'spooky bark (10)', 'spooky sap (5)', 'petrified wood (5)', 'spooky bark (10)', 'spooky sap (5)', 'wolfman mask (20)', 'petrified wood (5)', 'spooky bark (10)', 'spooky sap (5)', 'petrified wood (5)', 'pumpkinhead mask (20)', 'spooky bark (10)', 'spooky sap (5)', 'mummy costume (20)', 'petrified wood (5)', 'spooky bark (10)', 'spooky sap (5)', 'Underworld acorn (100)', 'Underworld trunk (100)']"
Seaside Megalopolis,1000,"['cyber-mattock (0)', 'neurostim pill (0)', 'essence of stench (c100)', 'neurostim pill (0)', 'X-37 gun (0)', 'essence of heat (c100)', 'Bangyomaman battle juice (c0)', 'physiostim pill (0)', 'protein paste (0)', 'oil-filled donut (c0)', 'neurostim pill (0)', 'physiostim pill (0)', 'sham champagne (0)', 'essence of kink (c100)', 'handyman &quot;hand soap&quot; (c0)', 'physiostim pill (0)', 'pool of liquid metal (0)', 'essence of cold (c100)', 'cupcake-in-a-cup (0)', 'neurostim pill (0)', 'hunter brain (n100)', 'facehugging alien (0)', 'physiostim pill (0)', 'essence of fright (c100)', 'space marine flash grenade (c0)', 'neurostim pill (0)', 'physiostim pill (0)']"
Science Lab,1000,"['BURT (100)', 'quantum nanopolymer spider web (0)']"
Regret Man's Level,1000,"['white pixel (0)', 'white pixel (0)', 'black pixel (0)', 'pixel power cell (0)', 'cube of ectoplasm (c0)', 'green pixel (0)', 'green pixel (0)', 'green pixel (0)', 'pixel power cell (0)', 'white pixel (0)', 'black pixel (0)', 'red pixel (0)', 'pixel power cell (0)', 'regret hose (100)']"
Professor Jacking's Small-O-Fier,1000,"['boulder (0)', 'fat bottom quark (0)', 'big glob of skin (0)', 'bottle of gin (0)', 'can-you-dig-it? (0)']"
Professor Jacking's Huge-A-Ma-tron,1000,"['tiny goth giant (0)', ""Crazyleg's razor (100)"", 'six tiny wedges of goat cheese (0)', 'tiny frozen prehistoric meteorite jawbreaker (c100)', 'collection of tiny spooky objects (0)']"
Porkham Asylum,1000,"[""The Author's inkwell (c100)""]"
Pirates of the Garbage Barges,1000,"['dirty rigging rope (0)', 'grogpagne (0)', 'plunge-leg (c0)', 'beard incense (0)', 'perfume-soaked bandana (0)', 'bucket of fish juice (c0)', 'nasty snuff (0)', 'sewage-clogged pistol (0)', 'funky eyepatch (c0)', 'beard incense (0)', 'dirty rigging rope (0)', 'grogpagne (0)', 'nasty snuff (0)', 'perfume-soaked bandana (0)', 'sewage-clogged pistol (0)', 'flashy pirate dreadlocks (c0)']"
Shop Class,1000,"['balsa plank (25)', 'balsa plank (10)', 'blob of wood glue (25)', 'blob of wood glue (10)', 'jigsaw blade (25)', 'jigsaw blade (10)', 'wood screw (25)', 'wood screw (10)', 'jigsaw blade (100)', 'wood screw (100)', 'balsa plank (100)', 'blob of wood glue (100)']"
Vanya's Castle Chapel,1000,[]
